NSIC Limited,Address,Phone No
Central Board for Workers Education,"S-67, GDCA Complex, Marine Drive, Pin Code 682031, Kochi Ernakulam",04842381850
National Investigation Agency,"SA-5 and 6, FACT Township, Pin Code 683501, Kochi Ernakulam",04842546576
Securities And Exchange Board Of India,"House No.48 4th Cross Road, Girinagar, Kadavanthara, Kochi Pin Code: 682020, Kochi Ernakulam",04842349344
National Institute of Open Schooling,"6th Floor, Finance Tower, Pin Code: 682017, Kochi Ernakulam",04842404100
Coconut Development Board,"34/2740 Mamangalam, Near Post Office, Pin Code -682025, Kochi Ernakulam",04842335714
Foreigner Regional Registration Office,"Processing Engineer, Technology Development Centre and Quality Testing Laboratory, Keenpuram, South Vazhakkulam Pin Code : 683 105, Kochi Ernakulam",04842679680
MMTC Limited,"2nd Floor, Airlines Building, Cochin International Airport, Kochi Ernakulam",04842611277
Coir Board,"Jos Trust Building, Chittoor Road, Pin Code-682035, Kochi Ernakulam",04842372873
Roads and Bridges Development Corporation of Kerala Limited,"PB No 1752, MG Road, Kochi Ernakulam",04842351807
National Highways Authority of India,"2nd Floor, Preethi Building M. V Road, Pin Code No-682025, Kochi Ernakulam",04842338206
The Joint Director General of Foreign Trade,"2B, RAK Tower, Edapally, Ernakulam, Kochi Ernakulam",048425594169895955844
Passport Office,"H No 36 / 862, A-Chittor Road, Opposite SRVLP School, P B No 29, Ernakulam, Kochi Ernakulam",04842426378
Indian Oil State Office,"Regional Passport Office, Panampilly Nagar, Earankulam, Kochi Ernakulam",04842318213
Central Warehousing Corporation,"Panampilly Nagar, Kochi Ernakulam",04842319066
Franklin Templeton Investments,"No 28, KV Colony, 7th Cross Road, Pin Code:682036, Kochi Ernakulam",04842373076
Infrastructure Development Finance Company Limited,"41/418-C, First Floor, Chicago Plaza, Rajaji Road, Pin Code-682035, Kochi Ernakulam",04844029291
IDFC Asset Management Company Pvt Ltd,"39/3993 B2, Ground Floor, Vantage Point, VRM Road, Pin Code-682016, Kochi Ernakulam",04842443173
Pta President Government High School,"No-39/3993 B2, Ground Floor, Vantage Point, VRM Road, Ravipuram, Kochi Ernakulam",04842472180
